business_name,topic_id,topic_label,topic_review_count,topic_share,topic_rank,model,average_topic_score
Santa Barbara Bowl,0,"bowl, venue, santa",154,0.5049180327868853,1,BERTopic,4.311688311688312
Santa Barbara Bowl,1,"venue, great, concert",151,0.49508196721311476,2,BERTopic,4.28476821192053
Sears Auto Center,0,"oil, car, change",39,0.41935483870967744,1,BERTopic,1.8717948717948718
Sears Auto Center,1,"service, auto, car",31,0.3333333333333333,2,BERTopic,4.161290322580645
Sears Auto Center,2,"tire, tires, car",23,0.24731182795698925,3,BERTopic,2.5652173913043477
La Cumbre Animal Hospital,0,"la, la cumbre, cumbre",32,0.5925925925925926,1,BERTopic,4.28125
La Cumbre Animal Hospital,1,"great, vet, staff",22,0.4074074074074074,2,BERTopic,4.7272727272727275
Gavin Roy Presents,0,"gavin, wedding, dj",21,0.5675675675675675,1,BERTopic,5.0
Gavin Roy Presents,1,"gavin, wedding, dj",16,0.43243243243243246,2,BERTopic,4.5
Little Dom's Seafood,0,"food, great, little",48,0.7868852459016393,1,BERTopic,3.8333333333333335
Little Dom's Seafood,1,"italian, pasta, delicious",13,0.21311475409836064,2,BERTopic,4.076923076923077
Bouchon,0,"santa, barbara, santa barbara",142,0.16265750286368844,1,BERTopic,4.697183098591549
Bouchon,1,"food, service, great",114,0.13058419243986255,2,BERTopic,4.421052631578948
Bouchon,2,"duck, good, breast",76,0.08705612829324169,3,BERTopic,4.171052631578948
Bouchon,3,"scallop, scallops, trio",71,0.08132875143184422,4,BERTopic,4.295774647887324
Bouchon,4,"birthday, dinner, wine",62,0.07101947308132875,5,BERTopic,4.854838709677419
Bouchon,5,"bouchon, santa barbara, barbara",52,0.05956471935853379,6,BERTopic,4.865384615384615
Bouchon,6,"bouchon, food, service",51,0.058419243986254296,7,BERTopic,4.627450980392157
Bouchon,7,"fish, didn, good",40,0.045819014891179836,8,BERTopic,3.5
Bouchon,8,"wine, great, food",38,0.043528064146620846,9,BERTopic,4.605263157894737
Bouchon,9,"bouchon, restaurant, soup",34,0.038946162657502864,10,BERTopic,4.117647058823529
Bouchon,10,"french, place, cuisine",33,0.037800687285223365,11,BERTopic,4.606060606060606
Bouchon,11,"food, service, wine",28,0.032073310423825885,12,BERTopic,4.714285714285714
Bouchon,12,"bouchon, anniversary, birthday",27,0.030927835051546393,13,BERTopic,4.814814814814815
Bouchon,13,"table, reservation, reservations",27,0.030927835051546393,14,BERTopic,2.3333333333333335
Bouchon,14,"anniversary, table, ordered",24,0.027491408934707903,15,BERTopic,4.5
Bouchon,15,"gras, foie gras, foie",20,0.022909507445589918,16,BERTopic,4.1
Bouchon,16,"stars, great, price",13,0.014891179839633447,17,BERTopic,3.3846153846153846
Bouchon,17,"bouchon, restaurant, santa barbara",11,0.012600229095074456,18,BERTopic,4.363636363636363
Bouchon,18,"lamb, good, flavor",10,0.011454753722794959,19,BERTopic,3.6
Mesa Pizza,0,"pizza, good, place",67,0.5317460317460317,1,BERTopic,4.149253731343284
Mesa Pizza,1,"barbara, santa barbara, santa",23,0.18253968253968253,2,BERTopic,4.869565217391305
Mesa Pizza,2,"pizza, mesa, mesa pizza",22,0.1746031746031746,3,BERTopic,4.7727272727272725
Mesa Pizza,3,"pizza, mesa, order",14,0.1111111111111111,4,BERTopic,2.7857142857142856
Calla Gold Jewelry,0,"ring, calla, rings",21,0.5526315789473685,1,BERTopic,4.9523809523809526
Calla Gold Jewelry,1,"jewelry, calla, gold",17,0.4473684210526316,2,BERTopic,5.0
Le Macaron French Pastries,0,"macaron, gelato, chocolate",20,0.6666666666666666,1,BERTopic,4.15
Le Macaron French Pastries,1,"macarons, good, worth",10,0.3333333333333333,2,BERTopic,3.8
Panino,0,"panino, sandwich, love",17,0.38636363636363635,1,BERTopic,4.705882352941177
Panino,1,"sandwiches, sandwich, cheese",17,0.38636363636363635,2,BERTopic,3.235294117647059
Panino,2,"bread, good, sandwich",10,0.22727272727272727,3,BERTopic,3.3
Giovanni's Pizza Carpinteria,0,"said, ordered, pizza",26,0.21666666666666667,1,BERTopic,1.4230769230769231
